date;currentThreadsBusy;currentThreadCount;maxSpareThreads;maxThreads
27/03/2014 12:00:01 ;33;40;50;500
27/03/2014 12:10:01 ;33;40;50;500
27/03/2014 12:20:01 ;33;40;50;500
27/03/2014 12:30:01 ;33;40;50;500
27/03/2014 12:40:01 ;33;40;50;500
27/03/2014 12:50:01 ;31;40;50;500
27/03/2014 01:00:01 ;30;40;50;500
27/03/2014 01:10:01 ;19;20;50;500
27/03/2014 01:20:01 ;21;24;50;500
27/03/2014 01:30:01 ;23;24;50;500
27/03/2014 01:40:01 ;23;24;50;500
27/03/2014 01:50:01 ;23;28;50;500
27/03/2014 02:00:01 ;26;28;50;500
27/03/2014 02:10:01 ;27;28;50;500
27/03/2014 02:20:01 ;27;28;50;500
27/03/2014 02:30:01 ;28;32;50;500
27/03/2014 02:40:01 ;28;32;50;500
27/03/2014 02:50:01 ;29;32;50;500
27/03/2014 03:00:01 ;29;32;50;500
27/03/2014 03:10:01 ;30;32;50;500
27/03/2014 03:20:01 ;27;32;50;500
27/03/2014 03:30:01 ;27;32;50;500
27/03/2014 03:40:01 ;25;32;50;500
27/03/2014 03:50:01 ;26;32;50;500
27/03/2014 04:00:01 ;26;32;50;500
27/03/2014 04:10:01 ;27;32;50;500
27/03/2014 04:20:01 ;27;32;50;500
27/03/2014 04:30:01 ;27;32;50;500
27/03/2014 04:40:01 ;27;32;50;500
27/03/2014 04:50:01 ;27;32;50;500
27/03/2014 05:00:01 ;27;32;50;500
27/03/2014 05:10:01 ;27;32;50;500
27/03/2014 05:20:01 ;27;32;50;500
27/03/2014 05:30:01 ;27;32;50;500
27/03/2014 05:40:01 ;27;32;50;500
27/03/2014 05:50:01 ;24;32;50;500
27/03/2014 06:00:01 ;25;32;50;500
27/03/2014 06:10:01 ;21;32;50;500
27/03/2014 06:20:01 ;23;32;50;500
27/03/2014 06:30:01 ;24;32;50;500
27/03/2014 06:40:01 ;20;32;50;500
27/03/2014 06:50:01 ;21;32;50;500
27/03/2014 07:00:01 ;22;32;50;500
27/03/2014 07:10:01 ;23;32;50;500
27/03/2014 07:20:01 ;23;32;50;500
27/03/2014 07:30:01 ;23;32;50;500
27/03/2014 07:40:01 ;23;32;50;500
27/03/2014 07:50:01 ;23;32;50;500
27/03/2014 08:00:01 ;26;32;50;500
27/03/2014 08:10:01 ;27;32;50;500
27/03/2014 08:20:01 ;28;32;50;500
27/03/2014 08:30:01 ;28;32;50;500
27/03/2014 08:40:01 ;29;32;50;500
27/03/2014 08:50:01 ;29;32;50;500
27/03/2014 09:00:01 ;29;32;50;500
27/03/2014 09:10:01 ;29;32;50;500
27/03/2014 09:20:02 ;30;32;50;500
27/03/2014 09:30:01 ;30;32;50;500
27/03/2014 09:40:01 ;30;32;50;500
27/03/2014 09:50:01 ;26;32;50;500
27/03/2014 10:00:01 ;27;32;50;500
27/03/2014 10:10:01 ;27;32;50;500
27/03/2014 10:20:01 ;29;32;50;500
27/03/2014 10:30:01 ;29;32;50;500
27/03/2014 10:40:01 ;29;32;50;500
27/03/2014 10:50:01 ;32;32;50;500
27/03/2014 11:00:01 ;34;36;50;500
27/03/2014 11:10:01 ;35;36;50;500
27/03/2014 11:20:01 ;35;36;50;500
27/03/2014 11:30:01 ;36;40;50;500
27/03/2014 11:40:01 ;36;40;50;500
27/03/2014 11:50:01 ;35;40;50;500
27/03/2014 12:00:01 ;36;40;50;500
27/03/2014 12:10:01 ;36;40;50;500
27/03/2014 12:20:01 ;36;40;50;500
27/03/2014 12:30:01 ;36;40;50;500
27/03/2014 12:40:01 ;36;40;50;500
27/03/2014 12:50:01 ;36;40;50;500
27/03/2014 01:00:01 ;36;40;50;500
27/03/2014 01:10:01 ;36;40;50;500
27/03/2014 01:20:01 ;36;40;50;500
27/03/2014 01:30:01 ;37;40;50;500
27/03/2014 01:40:02 ;37;40;50;500
27/03/2014 01:50:01 ;35;40;50;500
27/03/2014 02:00:01 ;35;40;50;500
27/03/2014 02:10:01 ;37;40;50;500
27/03/2014 02:20:01 ;37;40;50;500
27/03/2014 02:30:01 ;37;40;50;500
27/03/2014 02:40:01 ;37;40;50;500
27/03/2014 02:50:01 ;37;40;50;500
27/03/2014 03:00:01 ;35;40;50;500
27/03/2014 03:10:01 ;35;40;50;500
27/03/2014 03:20:01 ;35;40;50;500
27/03/2014 03:30:01 ;35;40;50;500
27/03/2014 03:40:01 ;35;40;50;500
27/03/2014 03:50:01 ;27;40;50;500
27/03/2014 04:00:01 ;23;40;50;500
27/03/2014 04:10:01 ;24;40;50;500
27/03/2014 04:20:01 ;19;40;50;500
27/03/2014 04:30:01 ;20;40;50;500
27/03/2014 04:40:01 ;25;40;50;500
27/03/2014 04:50:01 ;28;40;50;500
27/03/2014 05:00:01 ;30;40;50;500
27/03/2014 05:10:01 ;30;40;50;500
27/03/2014 05:20:01 ;32;40;50;500
27/03/2014 05:30:01 ;33;40;50;500
27/03/2014 05:40:01 ;34;40;50;500
27/03/2014 05:50:01 ;34;40;50;500
27/03/2014 06:00:01 ;34;40;50;500
27/03/2014 06:10:01 ;35;40;50;500
27/03/2014 06:20:01 ;35;40;50;500
27/03/2014 06:30:01 ;35;40;50;500
27/03/2014 06:40:01 ;35;40;50;500
27/03/2014 06:50:01 ;28;40;50;500
27/03/2014 07:00:01 ;28;40;50;500
27/03/2014 07:10:01 ;30;40;50;500
27/03/2014 07:20:01 ;30;40;50;500
27/03/2014 07:30:01 ;31;40;50;500
27/03/2014 07:40:01 ;31;40;50;500
27/03/2014 07:50:01 ;30;40;50;500
27/03/2014 08:00:01 ;32;40;50;500
27/03/2014 08:10:01 ;31;40;50;500
27/03/2014 08:20:01 ;32;40;50;500
27/03/2014 08:30:01 ;32;40;50;500
27/03/2014 08:40:01 ;32;40;50;500
27/03/2014 08:50:01 ;32;40;50;500
27/03/2014 09:00:01 ;32;40;50;500
27/03/2014 09:10:01 ;33;40;50;500
27/03/2014 09:20:01 ;33;40;50;500
27/03/2014 09:30:01 ;33;40;50;500
27/03/2014 09:40:01 ;33;40;50;500
27/03/2014 09:50:01 ;33;40;50;500
27/03/2014 10:00:01 ;33;40;50;500
27/03/2014 10:10:01 ;33;40;50;500
27/03/2014 10:20:01 ;33;40;50;500
27/03/2014 10:30:01 ;33;40;50;500
27/03/2014 10:40:01 ;33;40;50;500
27/03/2014 10:50:01 ;33;40;50;500
27/03/2014 11:00:01 ;33;40;50;500
27/03/2014 11:10:01 ;33;40;50;500
27/03/2014 11:20:01 ;33;40;50;500
27/03/2014 11:30:01 ;33;40;50;500
27/03/2014 11:40:01 ;32;40;50;500
27/03/2014 11:50:01 ;33;40;50;500
