date;dateHeure;login;ip
20140327;000010;i.integra;10.35.8.149
20140327;000027;v.magdeleine sicot;10.35.8.149
20140327;000029;i.integra;217.115.160.142
20140327;000203;a.testsarabis;10.35.8.149
20140327;000208;e.ev1;10.35.8.149
20140327;000321;a.testsarabis;10.35.8.149
20140327;000326;e.ev1;10.35.8.149
20140327;000818;a.testsarabis;10.35.8.149
20140327;000823;e.ev1;10.35.8.149
20140327;000927;a.testsarabis;10.35.8.149
20140327;000933;e.ev1;10.35.8.149
20140327;001510;i.integra;10.35.8.149
20140327;001525;i.integra;217.115.160.142
20140327;001631;a.testsarabis;10.35.8.149
20140327;001637;e.ev1;10.35.8.149
20140327;001717;a.testsarabis;10.35.8.149
20140327;001721;e.ev1;10.35.8.149
20140327;002146;a.testsarabis;10.35.8.149
20140327;002151;e.ev1;10.35.8.149
20140327;002725;a.testsarabis;10.35.8.149
20140327;002730;e.ev1;10.35.8.149
20140327;003011;i.integra;10.35.8.149
20140327;003026;i.integra;217.115.160.142
20140327;003123;a.testsarabis;10.35.8.149
20140327;003128;e.ev1;10.35.8.149
20140327;003224;a.testsarabis;10.35.8.149
20140327;003233;e.ev1;10.35.8.149
20140327;003408;a.testsarabis;10.35.8.149
20140327;003413;e.ev1;10.35.8.149
20140327;003830;a.testsarabis;10.35.8.149
20140327;003835;e.ev1;10.35.8.149
20140327;004603;l.vaz;10.35.8.149
20140327;004616;a.testsarabis;10.35.8.149
20140327;004621;e.ev1;10.35.8.149
20140327;004717;a.testsarabis;10.35.8.149
20140327;004722;e.ev1;10.35.8.149
20140327;005056;l.vaz;10.35.8.149
20140327;005145;a.testsarabis;10.35.8.149
20140327;005150;e.ev1;10.35.8.149
20140327;005900;a.testsarabis;10.35.8.149
20140327;005905;e.ev1;10.35.8.149
20140327;011513;i.integra;10.35.8.149
20140327;011538;i.integra;217.115.160.142
20140327;013011;i.integra;10.35.8.149
20140327;013027;i.integra;217.115.160.142
20140327;013224;a.testsarabis;10.35.8.149
20140327;013229;e.ev1;10.35.8.149
20140327;013246;a.testsarabis;10.35.8.149
20140327;013251;e.ev1;10.35.8.149
20140327;013317;a.testsarabis;10.35.8.149
20140327;013322;a.testsarabis;10.35.8.149
20140327;013327;e.ev1;10.35.8.149
20140327;013347;e.ev1;10.35.8.149
20140327;014511;i.integra;10.35.8.149
20140327;014528;i.integra;217.115.160.142
20140327;014626;a.testsarabis;10.35.8.149
20140327;014631;e.ev1;10.35.8.149
20140327;014904;a.testsarabis;10.35.8.149
20140327;014908;e.ev1;10.35.8.149
20140327;014909;a.testsarabis;10.35.8.149
20140327;014915;e.ev1;10.35.8.149
20140327;015921;a.testsarabis;10.35.8.149
20140327;015926;e.ev1;10.35.8.149
20140327;020012;i.integra;10.35.8.149
20140327;020026;i.integra;217.115.160.142
20140327;020245;a.testsarabis;10.35.8.149
20140327;020252;e.ev1;10.35.8.149
20140327;020447;a.testsarabis;10.35.8.149
20140327;020452;e.ev1;10.35.8.149
20140327;020605;a.testsarabis;10.35.8.149
20140327;020621;e.ev1;10.35.8.149
20140327;021400;a.testsarabis;10.35.8.149
